"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.97023,0,0,0,0.0017784,0.00091587,-3.3106e-05
0.96556,0,0,0,0.0017789,0.00091312,-3.3106e-05
0.96556,0,0,0,0.0017789,0.00091312,3.3106e-05
0.99326,0,0,0,0.0017174,0.00097807,3.3106e-05
0.99326,0,0,0,0.0017174,0.00097807,-3.3106e-05
0.98715,0,0,0,0.0017266,0.0012246,-3.3106e-05
0.98715,0,0,0,0.0017266,0.0012246,3.3106e-05
0.98431,0,0,0,0.0017774,0.0012799,3.3106e-05
0.98431,0,0,0,0.0017774,0.0012799,-3.3106e-05
0.98089,0,0,0,0.0017781,0.0012826,3.3106e-05
0.98089,0,0,0,0.0017781,0.0012826,-3.3106e-05
0.98118,0,0,0,0.0017778,0.0013186,-3.3106e-05
0.98118,0,0,0,0.0017778,0.0013186,3.3106e-05
0.96172,0,0,0,0.0017793,0.00071036,-3.3106e-05
0.96172,0,0,0,0.0017793,0.00071036,3.3106e-05
0.98525,0,0,0,0.0017758,0.00087455,3.3106e-05
0.98239,0,0,0,0.0017767,0.00087721,3.3106e-05
0.98239,0,0,0,0.0017767,0.00087721,-3.3106e-05
0.98525,0,0,0,0.0017758,0.00087455,-3.3106e-05
0.97909,0,0,0,0.0017774,0.0008799,3.3106e-05
0.97909,0,0,0,0.0017774,0.0008799,-3.3106e-05
0.96207,0,0,0,0.0017795,0.00089087,-3.3106e-05
0.96207,0,0,0,0.0017795,0.00089087,3.3106e-05
0.99849,0,0,0,0.0017508,0.0010382,-3.3106e-05
0.99849,0,0,0,0.0017508,0.0010382,3.3106e-05
1.0013,0,0,0,0.0017659,0.0010546,3.3106e-05
1.0013,0,0,0,0.0017659,0.0010546,-3.3106e-05
0.99852,0,0,0,0.0017674,0.001057,3.3106e-05
0.99852,0,0,0,0.0017674,0.001057,-3.3106e-05
0.99531,0,0,0,0.0017722,0.0011344,3.3106e-05
0.99531,0,0,0,0.0017722,0.0011344,-3.3106e-05
0.99409,0,0,0,0.0017734,0.0011318,-3.3106e-05
0.99409,0,0,0,0.0017734,0.0011318,3.3106e-05
0.99539,0,0,0,0.001771,0.0011369,3.3106e-05
0.99539,0,0,0,0.001771,0.0011369,-3.3106e-05
0.98414,0,0,0,0.001724,0.0012237,-3.3106e-05
